E_MeV_u,LET_keV_um,a0_nm,beta,ks_Gauss,ks_Geiss,particle,scale,voltage_V,water_LET_keV_um
52.0,0.12752101471001911,8.0,0.0,1.0251649214689902,1.0131427068760808,neon,3.0,100.0,119.8740357008332
52.0,0.12752101471001911,8.5,0.0,1.0251649214689902,1.0123902482710274,neon,3.0,100.0,119.8740357008332
102.0,0.07605304543775501,4.5,0.0,1.0172255479696655,1.0111181120527635,neon,3.0,100.0,71.40984517274795
102.0,0.07605304543775501,5.0,0.0,1.0172255479696655,1.0104208593925699,neon,3.0,100.0,71.40984517274795
102.0,0.07605304543775501,5.5,0.0,1.0172255479696655,1.0095944956513634,neon,3.0,100.0,71.40984517274795
102.0,0.07605304543775501,6.0,0.0,1.0172255479696655,1.0089324535465136,neon,3.0,100.0,71.40984517274795
102.0,0.07605304543775501,6.5,0.0,1.0172255479696655,1.0084410914279085,neon,3.0,100.0,71.40984517274795
102.0,0.07605304543775501,7.0,0.0,1.0172255479696655,1.0080683414528748,neon,3.0,100.0,71.40984517274795
102.0,0.07605304543775501,7.5,0.0,1.0172255479696655,1.0077016029142285,neon,3.0,100.0,71.40984517274795
102.0,0.07605304543775501,8.0,0.0,1.0172255479696655,1.0073659642620163,neon,3.0,100.0,71.40984517274795
102.0,0.07605304543775501,8.5,0.0,1.0172255479696655,1.006942354888857,neon,3.0,100.0,71.40984517274795
152.0,0.057186901584223175,4.5,0.0,1.0141080244974214,1.0080922539113015,neon,3.0,100.0,53.66352396936089
152.0,0.057186901584223175,5.0,0.0,1.0141080244974214,1.0075830294080277,neon,3.0,100.0,53.66352396936089
152.0,0.057186901584223175,5.5,0.0,1.0141080244974214,1.006980799052025,neon,3.0,100.0,53.66352396936089
152.0,0.057186901584223175,6.0,0.0,1.0141080244974214,1.0064983188786838,neon,3.0,100.0,53.66352396936089
152.0,0.057186901584223175,6.5,0.0,1.0141080244974214,1.0061400318561953,neon,3.0,100.0,53.66352396936089
152.0,0.057186901584223175,7.0,0.0,1.0141080244974214,1.0058680515475722,neon,3.0,100.0,53.66352396936089
152.0,0.057186901584223175,7.5,0.0,1.0141080244974214,1.0056006987146657,neon,3.0,100.0,53.66352396936089
152.0,0.057186901584223175,8.0,0.0,1.0141080244974214,1.0053561005687635,neon,3.0,100.0,53.66352396936089
152.0,0.057186901584223175,8.5,0.0,1.0141080244974214,1.0050480025700286,neon,3.0,100.0,53.66352396936089
202.0,0.04735998338516216,4.5,0.0,1.012414913600973,1.0065606990185572,neon,3.0,100.0,44.41013233181935
202.0,0.04735998338516216,5.0,0.0,1.012414913600973,1.006147386841714,neon,3.0,100.0,44.41013233181935
202.0,0.04735998338516216,5.5,0.0,1.012414913600973,1.0056592273454463,neon,3.0,100.0,44.41013233181935
202.0,0.04735998338516216,6.0,0.0,1.012414913600973,1.005268105850864,neon,3.0,100.0,44.41013233181935
202.0,0.04735998338516216,6.5,0.0,1.012414913600973,1.0049775432342314,neon,3.0,100.0,44.41013233181935
202.0,0.04735998338516216,7.0,0.0,1.012414913600973,1.0047568694547093,neon,3.0,100.0,44.41013233181935
202.0,0.04735998338516216,7.5,0.0,1.012414913600973,1.004540068466264,neon,3.0,100.0,44.41013233181935
202.0,0.04735998338516216,8.0,0.0,1.012414913600973,1.0043417553432026,neon,3.0,100.0,44.41013233181935
202.0,0.04735998338516216,8.5,0.0,1.012414913600973,1.0040922646757413,neon,3.0,100.0,44.41013233181935
252.0,0.04132128672522739,4.5,0.0,1.011343667091974,1.005628486640972,neon,3.0,100.0,38.743340540080666
252.0,0.04132128672522739,5.0,0.0,1.011343667091974,1.0052736316114905,neon,3.0,100.0,38.743340540080666
